generation	fitness	corner	c	a1	a2	b1	b2	b3	x	o1	o2	wp	ww	we
1121	60.5	[44, 40, 42, 65, 47]	[-19, -11, -13, -21, -36]	[-9, -1, -2, -2, -8]	[-2, -1, -1, 6, -11]	[-5, -2, -2, -1, 5]	[-1, -3, -2, -3, -3]	[-1, -2, 3, 4, 13]	[-28, -36, -32, -27, -26]	[-21, -8, -5, -6, -7]	[-4, -6, -6, -1, -14]	[4, 4, 4, 13, 13]	[10000, 10001, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1122	61.2	[41, 40, 45, 65, 50]	[-16, -11, -19, -20, -39]	[-6, -1, -1, -2, -11]	[2, -2, -3, 1, -10]	[-4, -2, -5, 0, 2]	[-4, -3, -1, -2, -9]	[6, -3, 4, 4, 13]	[-35, -43, -31, -25, -25]	[-7, -10, -5, -2, -6]	[-8, -7, -6, -7, -12]	[4, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10000]	[96, 86, 102, 101, 90]
1123	61.4	[47, 46, 45, 67, 50]	[-19, -9, -18, -33, -36]	[-7, -1, -1, -3, -12]	[-2, -3, -3, -1, -12]	[-4, -2, -2, -1, 5]	[-2, -4, -1, -2, -3]	[-14, 2, 4, 0, 4]	[-27, -37, -32, -27, -27]	[-10, -6, -6, -3, -7]	[-10, -8, -6, -3, -9]	[4, 4, 4, 9, 8]	[10003, 10000, 9996, 9987, 9999]	[90, 83, 98, 98, 94]
1124	59.9	[41, 40, 45, 65, 53]	[-18, -15, -19, -20, -39]	[-8, -1, -1, -2, -11]	[2, -5, -3, 0, -10]	[-4, -2, 0, 0, 2]	[-4, -5, -2, 1, 0]	[5, -2, 4, 2, 13]	[-35, -42, -31, -25, -25]	[-7, -10, -5, -2, -6]	[-8, -7, -6, -3, -12]	[4, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10000]	[96, 86, 102, 106, 90]
1125	59.1	[41, 40, 45, 65, 50]	[-16, -14, -19, -20, -39]	[-6, -1, -1, -2, -11]	[2, -5, -3, 1, -10]	[-4, -2, -3, 0, 2]	[-5, -4, -1, -2, -5]	[6, -2, 4, 4, 13]	[-35, -42, -31, -27, -25]	[-7, -9, -5, -2, -6]	[-8, -7, -6, -4, -12]	[4, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10000]	[93, 86, 102, 103, 90]
1126	58.8	[44, 40, 42, 65, 47]	[-19, -11, -13, -21, -33]	[-9, -1, -2, -2, -8]	[-2, -1, -1, 6, -11]	[-5, -2, -2, -1, 5]	[-1, -3, -2, -3, -3]	[-1, -2, 3, 4, 13]	[-28, -36, -32, -27, -26]	[-21, -8, -5, -6, -7]	[-4, -6, -6, -1, -14]	[4, 4, 4, 13, 13]	[10000, 10001, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1127	63.0	[41, 40, 45, 65, 50]	[-16, -17, -19, -20, -39]	[-6, -1, -1, -2, -11]	[2, -5, -3, 1, -10]	[-4, -2, -3, 0, 2]	[-5, -4, -1, -2, -5]	[6, -2, 4, 4, 13]	[-35, -42, -31, -27, -25]	[-7, -9, -5, -2, -6]	[-8, -7, -6, -7, -12]	[4, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10000]	[93, 86, 102, 103, 90]
1128	62.3	[44, 40, 42, 65, 47]	[-19, -12, -20, -21, -36]	[-2, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -2, -3, 5]	[-4, -4, -2, -3, -5]	[1, -5, 1, 4, 13]	[-25, -36, -31, -27, -25]	[-21, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1129	61.4	[47, 41, 45, 64, 53]	[-16, -11, -19, -17, -39]	[-10, -1, -1, -2, -10]	[2, -4, -2, 1, -10]	[-4, -5, 0, 0, 2]	[-4, -4, -2, 0, -2]	[5, -2, 2, 4, 15]	[-35, -39, -32, -25, -24]	[-10, -8, -5, -4, -7]	[-8, -7, -6, -3, -12]	[4, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10000]	[96, 86, 102, 106, 90]
1130	58.9	[42, 38, 42, 66, 50]	[-15, -8, -21, -20, -40]	[-10, -1, -1, -6, -10]	[2, -2, -2, 1, -13]	[-2, -2, 1, 1, 2]	[-4, -2, -2, -2, -3]	[1, -3, 2, 3, 2]	[-25, -37, -32, -23, -24]	[-21, -9, -5, -4, -10]	[-10, -6, -6, -1, -11]	[4, 4, 4, 8, 10]	[10001, 10001, 9996, 9986, 9999]	[80, 81, 102, 107, 90]
1131	59.6	[41, 40, 48, 65, 53]	[-18, -15, -22, -20, -39]	[-8, -1, -1, -2, -11]	[2, -5, -3, 0, -10]	[-4, -2, 0, 0, 2]	[-4, -5, -2, 1, 0]	[5, -2, 4, 2, 13]	[-35, -42, -31, -25, -25]	[-7, -10, -5, -2, -6]	[-11, -7, -6, -3, -12]	[1, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10000]	[93, 86, 102, 106, 90]
1132	60.8	[47, 41, 45, 64, 53]	[-16, -11, -19, -17, -39]	[-10, -1, -1, -2, -10]	[2, -4, -2, 1, -10]	[-4, -5, 0, 0, 2]	[-4, -4, -2, 0, -2]	[5, -2, 2, 4, 15]	[-35, -39, -32, -25, -24]	[-10, -8, -5, -4, -7]	[-8, -7, -6, -3, -12]	[4, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10000]	[96, 86, 102, 106, 90]
1133	61.9	[42, 39, 43, 63, 50]	[-17, -11, -19, -20, -40]	[-6, 0, -1, -3, -10]	[-1, -4, -2, 1, -13]	[-2, -2, 0, 3, 2]	[-3, -4, -2, 1, -3]	[2, -3, 2, 3, 2]	[-25, -37, -32, -25, -24]	[-11, -8, -6, -4, -8]	[-11, -8, -6, -4, -11]	[4, 4, 4, 9, 9]	[10002, 10003, 9998, 9987, 9998]	[87, 81, 102, 107, 90]
1134	60.3	[42, 39, 43, 63, 50]	[-17, -11, -19, -20, -40]	[-6, 0, -1, -3, -10]	[-1, -4, -2, 1, -13]	[-2, -2, 0, 3, 2]	[-3, -4, -2, 1, -3]	[2, -3, 2, 3, 2]	[-25, -37, -32, -25, -24]	[-11, -8, -6, -4, -8]	[-11, -8, -6, -4, -11]	[4, 4, 4, 9, 9]	[10002, 10003, 9998, 9987, 9998]	[87, 81, 102, 107, 90]
1135	60.8	[44, 40, 39, 65, 47]	[-19, -11, -13, -18, -33]	[-9, -1, -2, -2, -8]	[-5, -1, -1, 6, -11]	[-5, -2, -2, -1, 5]	[-1, -3, -2, -3, -3]	[-1, -2, 3, 4, 13]	[-28, -36, -32, -27, -26]	[-21, -8, -5, -6, -7]	[-4, -7, -6, -1, -14]	[4, 4, 4, 13, 13]	[10000, 10001, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1136	60.1	[42, 38, 42, 66, 50]	[-15, -8, -21, -20, -40]	[-10, -1, -1, -6, -10]	[2, -2, -2, 1, -10]	[-4, -2, -2, 1, 2]	[-4, -2, -2, -2, -3]	[1, -3, 2, 3, 2]	[-25, -37, -32, -23, -24]	[-21, -9, -5, -4, -10]	[-10, -6, -6, -1, -11]	[4, 4, 4, 8, 10]	[10001, 10001, 9999, 9986, 9999]	[77, 81, 102, 107, 90]
1137	60.2	[42, 38, 42, 66, 50]	[-15, -8, -21, -20, -40]	[-10, -1, -1, -6, -10]	[2, -2, -2, 1, -10]	[-4, -2, -2, 1, 2]	[-4, -2, -2, -2, -3]	[1, -3, 2, 3, 2]	[-25, -37, -32, -23, -24]	[-21, -9, -5, -4, -10]	[-10, -6, -6, -1, -11]	[4, 4, 4, 8, 10]	[10001, 10001, 9999, 9986, 9999]	[77, 81, 102, 107, 90]
